"","1A5_vitro_MM_rep2","1E4_vitro_MM_rep2","1A5_vitro_MM_rep1","1E4_vitro_MM_rep3","1E4_vitro_YSB_rep1","1A5_vitro_YSB_rep2","1A5_vitro_YSB_rep3","1E4_vitro_MM_rep1","1A5_vitro_MM_rep3","1A5_vitro_YSB_rep1","1E4_vitro_YSB_rep2","1E4_vitro_YSB_rep3"
"ZT3D7_G1",26,7,34,0,0,21,31,0,28,20,0,0
"ZT3D7_G2",213,361,302,382,440,574,677,271,284,574,470,603
"ZT3D7_G3",27,18,23,18,2,4,6,6,26,2,1,1
"ZT3D7_G4",105,85,98,94,31,52,64,68,87,49,31,55
"ZT3D7_G5",54,48,34,44,8,14,18,25,52,14,7,2
"ZT3D7_G6",526,580,675,712,340,487,490,481,662,531,346,522
"ZT3D7_G7",320,372,350,371,148,228,226,304,417,281,143,262
"ZT3D7_G8",20,51,33,63,28,16,15,36,64,21,39,66
"ZT3D7_G9",489,554,582,725,260,234,235,445,508,278,246,303
"ZT3D7_G10",505,662,663,784,638,789,862,582,562,811,705,924
"ZT3D7_G11",682,816,893,1055,885,1719,1830,838,978,1811,1081,1517
"ZT3D7_G12",24,40,25,38,9,21,21,23,23,35,5,8
"ZT3D7_G13",458,611,568,679,832,802,959,460,516,871,738,1063
"ZT3D7_G14",225,321,248,488,253,265,325,320,331,300,245,375
"ZT3D7_G15",392,447,432,471,324,470,485,455,412,491,289,421
"ZT3D7_G16",36,218,32,237,141,35,18,202,42,22,141,180
"ZT3D7_G17",189,1002,146,1182,1024,1558,1677,1104,218,1745,759,1156
"ZT3D7_G18",90,157,109,166,479,1138,1232,106,181,995,503,742
"ZT3D7_G19",361,416,525,586,461,465,678,279,519,457,574,742
"ZT3D7_G20",1136,959,1383,1031,419,1208,1315,620,1441,1227,384,492
"ZT3D7_G21",611,511,830,604,443,679,641,403,765,695,367,564
"ZT3D7_G22",2021,1169,2088,1428,1293,910,925,860,1670,1041,1224,1760
"ZT3D7_G23",735,807,922,1008,1204,1369,1567,629,916,1410,1073,1715
"ZT3D7_G24",36,42,26,80,33,13,7,42,51,1,41,43
"ZT3D7_G25",53,114,37,146,52,36,42,87,44,40,44,79
"ZT3D7_G26",1272,921,1421,1035,1158,1775,2171,826,1333,2050,1226,1931
"ZT3D7_G27",335,369,434,373,640,560,719,306,371,691,654,798
"ZT3D7_G28",41,113,23,119,32,30,44,115,42,27,38,60
"ZT3D7_G29",9,27,16,32,17,10,13,23,10,15,12,10
"ZT3D7_G30",71,114,70,101,36,70,52,111,80,66,52,57
"ZT3D7_G31",453,490,507,597,415,508,602,376,479,599,417,578
"ZT3D7_G32",0,0,0,0,0,0,0,0,1,0,0,0
"ZT3D7_G33",588,755,780,848,712,808,907,617,569,798,741,989
"ZT3D7_G34",380,265,382,296,125,191,256,192,435,208,135,159
"ZT3D7_G35",584,921,687,1005,1544,2766,2945,791,559,2694,1854,2345
"ZT3D7_G36",123,183,152,183,48,121,108,141,160,114,49,86
"ZT3D7_G37",289,292,349,272,167,191,207,243,278,183,144,255
"ZT3D7_G38",72,132,101,139,154,188,178,70,84,198,131,130
"ZT3D7_G39",57,99,71,93,47,88,110,90,56,115,44,50
"ZT3D7_G40",303,367,260,371,169,280,254,291,308,297,141,225
"ZT3D7_G41",49,136,46,75,30,49,63,51,44,56,31,39
"ZT3D7_G42",1,0,0,1,2,2,0,1,0,0,0,0
"ZT3D7_G43",0,7,0,6,0,0,3,0,0,0,0,0
"ZT3D7_G44",2,0,1,0,1,0,1,3,0,0,0,0
"ZT3D7_G45",0,2,2,2,0,0,0,0,3,1,0,0
"ZT3D7_G46",2,3,1,9,7,0,2,2,0,0,8,5
"ZT3D7_G47",1364,3614,1749,3453,3051,5041,6154,5017,1378,4788,3341,4454
"ZT3D7_G48",5,1,3,7,2,1,2,3,3,2,0,0
"ZT3D7_G49",7,3,4,1,1,1,3,3,4,2,1,4
"ZT3D7_G50",75,17,49,23,4,24,25,14,62,24,2,10
"ZT3D7_G51",29,31,25,43,10,8,17,21,23,13,8,23
"ZT3D7_G52",1527,1542,1632,1836,524,412,458,1327,1480,395,419,686
"ZT3D7_G53",992,562,1107,496,241,483,559,390,1084,515,212,309
"ZT3D7_G54",24,4,48,0,0,16,13,1,29,10,0,0
"ZT3D7_G55",3,19,17,1,0,3,2,1,7,3,0,0
"ZT3D7_G56",309,181,409,160,211,430,532,146,359,446,186,276
"ZT3D7_G57",103,454,95,597,188,102,110,456,113,98,124,214
"ZT3D7_G58",130,158,158,176,1138,139,161,168,162,182,1792,2427
"ZT3D7_G59",41,79,39,87,554,39,26,85,29,45,695,1119
"ZT3D7_G60",376,545,443,686,323,434,574,478,412,582,293,405
"ZT3D7_G61",104,248,100,389,94,107,126,184,114,110,110,144
"ZT3D7_G62",138,77,98,76,14,61,76,48,136,68,8,20
"ZT3D7_G63",1704,1823,1958,2037,1129,1569,2213,1599,1939,1625,1300,1941
"ZT3D7_G64",676,657,786,637,654,740,848,683,710,760,686,983
"ZT3D7_G65",25,10,16,4,2,2,3,7,20,9,1,0
"ZT3D7_G66",0,0,1,1,0,0,0,1,3,0,0,0
"ZT3D7_G67",1,1,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G68",0,0,1,1,0,1,5,0,2,0,1,0
"ZT3D7_G69",25,1,15,1,2,35,34,0,20,31,0,1
"ZT3D7_G70",6,6,4,6,3,2,4,3,7,4,4,2
"ZT3D7_G71",761,1271,723,1127,280,74,79,774,726,81,208,364
"ZT3D7_G72",80,59,79,53,15,49,42,50,103,35,26,33
"ZT3D7_G73",335,337,294,349,24,14,17,434,254,11,11,24
"ZT3D7_G74",2302,2439,2338,2639,1415,1795,2226,2773,2091,1917,1723,2068
"ZT3D7_G75",56,121,56,99,6,5,11,87,44,4,18,24
"ZT3D7_G76",2451,1444,1987,1265,762,692,933,1032,1798,704,682,940
"ZT3D7_G77",139,98,130,100,11,54,34,98,107,38,15,17
"ZT3D7_G78",90,151,135,131,13,17,18,116,107,21,6,12
"ZT3D7_G79",252,331,297,338,117,58,73,320,387,61,140,208
"ZT3D7_G80",108,63,69,72,7,15,19,58,82,22,9,13
"ZT3D7_G81",165,197,235,255,224,282,278,140,232,261,192,315
"ZT3D7_G82",123,133,139,168,63,92,107,105,132,101,58,83
"ZT3D7_G83",2350,2844,2565,2138,4065,5558,6510,2620,2278,6508,4362,6400
"ZT3D7_G84",2,4,1,6,1,1,0,0,2,1,0,0
"ZT3D7_G85",0,7,0,0,0,0,0,0,1,0,0,0
"ZT3D7_G86",2,11,8,8,8,4,5,6,16,6,7,8
"ZT3D7_G87",230,287,165,351,190,94,102,171,228,76,196,283
"ZT3D7_G88",71,151,74,190,69,66,55,104,139,67,87,139
"ZT3D7_G89",1350,1549,1818,2297,722,2165,2023,1287,2530,1963,842,1385
"ZT3D7_G90",5,9,6,4,1,1,2,2,1,1,0,0
"ZT3D7_G91",257,287,159,304,29,9,14,379,236,15,30,27
"ZT3D7_G92",335,428,259,465,75,105,124,509,280,123,93,102
"ZT3D7_G93",154,100,173,107,33,262,271,122,214,270,53,62
"ZT3D7_G94",440,443,517,569,217,265,240,517,456,275,161,299
"ZT3D7_G95",490,646,427,788,310,339,379,439,414,350,329,340
"ZT3D7_G96",1962,2592,2094,2902,1484,2000,2411,2173,1843,2075,1562,2032
"ZT3D7_G97",38,170,41,240,5,1,1,160,47,4,7,8
"ZT3D7_G98",7,21,8,41,4,1,6,28,21,3,2,6
"ZT3D7_G99",46,49,35,63,20,13,15,30,41,18,15,24
"ZT3D7_G100",156,240,148,261,418,185,224,162,125,298,499,528
"ZT3D7_G101",349,304,361,349,186,169,204,219,294,229,199,293
"ZT3D7_G102",1204,1265,1110,1400,426,74,68,1274,1251,93,373,619
"ZT3D7_G103",439,484,511,491,236,372,381,469,485,384,249,394
"ZT3D7_G104",44,73,58,62,50,75,90,34,50,72,51,62
"ZT3D7_G105",51,136,69,202,90,24,23,88,50,28,74,99
"ZT3D7_G106",502,625,565,839,326,768,848,691,673,776,397,490
"ZT3D7_G107",452,811,690,905,1523,1081,1346,539,517,1219,1059,1663
"ZT3D7_G108",187,369,305,531,691,671,802,364,273,651,736,881
"ZT3D7_G109",137,221,184,278,15,69,71,162,164,82,14,18
"ZT3D7_G110",833,1030,1058,1186,1365,1593,1845,832,885,1663,1384,1765
"ZT3D7_G111",4586,5200,4661,5638,8680,11628,11402,4365,5627,12859,9928,13857
"ZT3D7_G112",5956,6253,5298,6589,3399,4848,5071,5308,5589,5092,3426,4779
"ZT3D7_G113",47,118,30,208,23,8,7,154,72,5,13,22
"ZT3D7_G114",585,615,820,702,327,406,395,688,749,405,314,457
"ZT3D7_G115",893,1135,1056,1427,1312,2265,2586,1101,1197,2318,1498,2136
"ZT3D7_G116",386,944,245,1126,16,29,30,600,385,40,23,35
