"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G1",52,4,20,18,17,11,39,28,27,14,13,7
"ZT3D7_G2",269,365,251,701,702,641,243,265,282,192,645,325
"ZT3D7_G3",28,7,32,13,7,16,38,18,39,17,13,5
"ZT3D7_G4",100,96,188,203,136,115,138,91,248,226,175,84
"ZT3D7_G5",13,14,27,32,31,23,23,28,49,31,37,15
"ZT3D7_G6",469,435,681,473,502,424,616,566,623,473,658,335
"ZT3D7_G7",279,139,249,135,218,207,313,332,329,191,213,133
"ZT3D7_G8",66,31,25,17,31,19,43,68,22,17,34,31
"ZT3D7_G9",305,158,477,170,242,227,410,412,416,344,261,158
"ZT3D7_G10",533,672,646,745,710,620,662,699,692,644,1003,573
"ZT3D7_G11",772,1542,1270,1233,1272,1217,620,964,1219,1015,2006,1141
"ZT3D7_G12",51,19,39,9,9,8,44,43,35,24,17,10
"ZT3D7_G13",480,445,505,527,522,541,477,494,489,361,741,444
"ZT3D7_G14",179,150,126,264,219,207,162,165,188,149,248,148
"ZT3D7_G15",367,278,416,324,284,318,355,405,381,387,424,251
"ZT3D7_G16",61,55,27,146,193,145,59,47,28,26,79,54
"ZT3D7_G17",202,16885,95,656,1041,830,170,216,165,120,28126,19135
"ZT3D7_G18",94,556,133,529,500,517,48,100,187,161,596,430
"ZT3D7_G19",257,193,526,492,387,390,244,289,557,515,359,159
"ZT3D7_G20",1133,729,905,737,985,816,1395,1211,1398,1088,1061,706
"ZT3D7_G21",295,444,568,534,599,599,403,298,1072,597,648,462
"ZT3D7_G22",527,691,1422,478,681,564,654,668,1280,1216,1185,629
"ZT3D7_G23",75,1725,612,1355,1493,1289,116,181,768,603,2519,1745
"ZT3D7_G24",24,12,39,23,26,17,17,10,39,41,26,17
"ZT3D7_G25",41,28,54,28,48,35,37,27,51,59,45,22
"ZT3D7_G26",510,1184,1400,1546,1952,1558,463,522,1764,1230,1576,1008
"ZT3D7_G27",274,517,463,536,522,500,261,347,439,367,719,403
"ZT3D7_G28",27,27,67,21,19,21,18,29,60,59,27,22
"ZT3D7_G29",12,1,10,3,9,5,17,9,18,7,7,4
"ZT3D7_G30",31,17,36,23,23,31,39,39,43,37,12,18
"ZT3D7_G31",337,297,550,401,420,405,294,331,501,442,406,234
"ZT3D7_G32",0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G33",536,480,649,739,641,645,552,707,625,495,664,347
"ZT3D7_G34",203,92,252,204,198,140,194,207,287,268,168,85
"ZT3D7_G35",733,1636,1897,2505,2161,2046,746,824,1855,1804,2188,1165
"ZT3D7_G36",126,35,248,38,46,74,101,94,214,235,53,28
"ZT3D7_G37",150,154,316,212,219,215,141,101,345,260,339,167
"ZT3D7_G38",102,178,112,276,208,192,102,87,114,119,309,127
"ZT3D7_G39",43,84,90,59,64,39,40,56,84,80,92,60
"ZT3D7_G40",93,102,212,121,147,166,115,122,248,188,196,115
"ZT3D7_G41",317,35,30,34,42,30,352,241,28,22,46,17
"ZT3D7_G42",0,0,0,0,0,0,0,0,2,1,1,0
"ZT3D7_G43",33,0,2,0,0,1,38,29,3,3,1,0
"ZT3D7_G44",0,0,0,0,1,0,1,0,0,1,0,0
"ZT3D7_G45",0,1,1,0,0,0,0,0,0,0,1,2
"ZT3D7_G46",18,0,0,21,19,9,11,21,0,0,0,0
"ZT3D7_G47",247,2753,6199,6600,5367,4633,157,212,4631,5237,4760,3162
"ZT3D7_G48",0,1,6,0,0,0,4,0,6,4,0,2
"ZT3D7_G49",9,0,5,2,4,4,9,5,10,5,3,0
"ZT3D7_G50",32,37,70,39,39,34,33,27,93,110,39,30
"ZT3D7_G51",25,10,31,29,30,19,9,6,73,43,24,7
"ZT3D7_G52",523,214,1533,332,377,345,549,442,2546,1579,334,185
"ZT3D7_G53",222,272,401,394,500,557,410,188,681,477,432,259
"ZT3D7_G54",34,3,24,13,19,18,32,32,29,26,13,3
"ZT3D7_G55",68,22,119,24,25,21,64,70,127,95,19,18
"ZT3D7_G56",209,306,695,635,527,475,131,136,693,728,382,204
"ZT3D7_G57",75,92,293,100,90,83,53,84,312,254,125,76
"ZT3D7_G58",24,52,82,180,123,119,28,70,83,58,92,64
"ZT3D7_G59",105,64,125,288,293,308,81,77,158,117,94,71
"ZT3D7_G60",259,449,935,816,808,617,199,187,1078,837,581,364
"ZT3D7_G61",76,43,92,87,104,89,68,96,111,110,69,41
"ZT3D7_G62",55,23,119,29,43,24,47,59,125,119,42,28
"ZT3D7_G63",1808,1057,1482,2734,2186,1606,1709,2180,1713,1401,1485,864
"ZT3D7_G64",587,529,608,572,596,529,501,748,722,469,704,440
"ZT3D7_G65",1,2,14,1,3,0,6,2,11,11,2,1
"ZT3D7_G66",0,0,1,0,1,0,0,1,0,0,0,0
"ZT3D7_G67",1,0,0,0,2,1,1,0,0,0,0,0
"ZT3D7_G68",1,0,3,1,0,0,0,1,0,0,0,0
"ZT3D7_G69",22,1,6,24,75,55,46,22,5,5,1,1
"ZT3D7_G70",1,9,10,3,9,4,4,1,6,8,13,7
"ZT3D7_G71",1454,63,775,115,105,126,2031,1412,768,627,112,51
"ZT3D7_G72",59,28,451,61,45,41,35,56,561,347,39,16
"ZT3D7_G73",132,56,295,62,53,45,119,219,217,203,89,38
"ZT3D7_G74",1223,2146,2612,1995,1949,1548,1304,1372,2977,2419,2765,1525
"ZT3D7_G75",59,9,49,11,4,10,52,57,56,38,9,5
"ZT3D7_G76",1403,451,1900,671,610,586,1565,1408,1672,1592,655,379
"ZT3D7_G77",51,17,60,25,25,22,69,92,43,60,12,12
"ZT3D7_G78",42,15,783,27,40,40,30,18,1021,744,21,21
"ZT3D7_G79",116,56,286,38,56,48,130,122,243,247,63,49
"ZT3D7_G80",22,9,50,29,54,43,20,18,70,36,15,11
"ZT3D7_G81",156,171,125,286,272,266,153,155,88,106,283,135
"ZT3D7_G82",92,62,83,106,106,93,97,78,128,97,87,56
"ZT3D7_G83",1443,6071,1743,4345,5131,4620,1504,1604,2087,1602,7749,5429
"ZT3D7_G84",8,18,25,26,27,18,5,5,28,24,24,12
"ZT3D7_G85",38,340,658,105,149,154,37,45,622,579,490,406
"ZT3D7_G86",0,18,25,0,0,0,0,0,15,26,20,12
"ZT3D7_G87",47,15,42,80,50,66,22,50,47,42,20,18
"ZT3D7_G88",28,14,30,26,31,32,19,15,26,27,25,11
"ZT3D7_G89",3662,899,3049,1623,1643,1533,2346,4019,2047,1989,1173,843
"ZT3D7_G90",14,6,5,5,3,3,12,6,5,6,4,5
"ZT3D7_G91",185,20,61,45,32,20,217,310,51,57,46,18
"ZT3D7_G92",52,81,346,17,23,13,85,80,464,363,125,80
"ZT3D7_G93",67,159,126,92,106,91,58,78,138,118,228,145
"ZT3D7_G94",257,137,374,218,200,201,205,306,355,337,172,92
"ZT3D7_G95",204,230,747,222,221,215,247,234,691,661,386,186
"ZT3D7_G96",2422,1002,2319,1860,1697,1694,2266,2446,2000,1916,1538,850
"ZT3D7_G97",53,1,18,5,3,2,32,26,11,12,3,0
"ZT3D7_G98",2,2,7,3,3,5,5,14,15,13,6,3
"ZT3D7_G99",15,10,22,15,9,5,9,14,41,27,20,14
"ZT3D7_G100",153,510,116,688,616,581,81,95,161,130,904,402
"ZT3D7_G101",201,281,130,610,613,606,182,175,172,156,406,222
"ZT3D7_G102",136,332,299,222,395,330,122,115,369,279,578,376
"ZT3D7_G103",316,232,633,249,264,248,303,345,654,462,349,195
"ZT3D7_G104",73,161,134,90,82,84,70,54,141,125,201,123
