SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G1 0 1 1 1 2 12 0 14 31 0 0 0 2 0 7 19 6 0 41 24 44 40 0 0 0 0 1 0 1 6 20 19 31 32 35 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G2 2 0 1 9 2 263 0 154 263 14 10 15 10 4 9 441 112 2 572 219 379 317 0 1 3 2 10 3 1 23 146 99 230 292 286 4 11 12 43 2 14 16 67 61 59 318 186 362
ZT3D7_G3 0 0 0 0 0 4 0 5 2 0 4 0 0 0 1 11 2 0 13 2 8 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 3 2
ZT3D7_G4 0 0 0 3 0 14 0 10 27 0 0 0 0 3 7 52 15 0 46 18 29 25 0 0 0 0 0 0 0 0 31 0 20 11 25 0 0 0 2 1 0 3 5 6 3 13 25 26
ZT3D7_G5 0 1 0 0 0 2 0 1 2 0 1 0 0 0 0 0 0 0 2 6 12 14 0 1 0 0 0 0 0 0 5 4 9 4 21 0 0 0 2 0 3 0 2 2 8 17 10 16
ZT3D7_G6 0 5 6 12 3 398 4 321 498 9 7 14 9 8 18 326 159 1 457 316 386 341 4 2 7 6 18 7 5 33 185 87 435 361 658 9 6 12 57 1 13 29 114 89 99 623 504 454
ZT3D7_G7 4 4 5 10 2 261 0 262 452 14 5 1 12 8 21 699 272 2 1053 348 408 397 0 7 1 4 5 3 3 39 280 162 388 441 391 2 2 2 43 1 6 22 127 132 148 319 357 308
ZT3D7_G8 0 1 1 0 0 423 0 334 355 1 0 4 0 0 3 144 22 0 225 205 229 200 0 2 0 0 0 0 0 0 146 80 283 386 423 0 2 4 53 0 1 0 76 14 22 754 558 406
ZT3D7_G9 3 5 7 3 1 323 2 286 444 5 7 6 3 13 18 359 149 2 452 271 362 292 3 5 2 2 7 9 2 24 198 119 369 320 523 10 8 5 48 2 15 23 158 132 104 498 350 341
ZT3D7_G10 2 13 11 9 2 423 0 416 509 5 11 5 10 20 36 229 161 0 521 472 694 599 5 16 6 11 23 9 4 46 226 118 573 631 781 3 4 9 98 1 12 24 97 103 106 845 563 756
ZT3D7_G11 7 15 11 31 10 3053 2 2504 3176 36 32 39 29 31 98 1028 424 3 2691 2139 3114 2751 3 18 8 31 27 9 6 60 546 245 2428 2697 3439 20 27 45 382 10 51 61 286 262 241 5208 3475 3631
ZT3D7_G12 2 0 0 2 0 53 0 57 51 3 2 1 1 4 0 24 14 0 77 22 49 22 0 0 1 0 0 0 0 6 92 24 54 57 42 0 1 0 11 0 1 0 4 6 2 58 17 33
