"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G1",0,0,0,0,1,0,6,20,19,31,32,35,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G2",0,1,3,2,10,3,23,146,99,230,292,286,4,11,12,43,14,16,67,61,59,318,186,362
"ZT3D7_G3",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,3,2
"ZT3D7_G4",0,0,0,0,0,0,0,31,0,20,11,25,0,0,0,2,0,3,5,6,3,13,25,26
"ZT3D7_G5",0,1,0,0,0,0,0,5,4,9,4,21,0,0,0,2,3,0,2,2,8,17,10,16
"ZT3D7_G6",4,2,7,6,18,7,33,185,87,435,361,658,9,6,12,57,13,29,114,89,99,623,504,454
"ZT3D7_G7",0,7,1,4,5,3,39,280,162,388,441,391,2,2,2,43,6,22,127,132,148,319,357,308
"ZT3D7_G8",0,2,0,0,0,0,0,146,80,283,386,423,0,2,4,53,1,0,76,14,22,754,558,406
"ZT3D7_G9",3,5,2,2,7,9,24,198,119,369,320,523,10,8,5,48,15,23,158,132,104,498,350,341
"ZT3D7_G10",5,16,6,11,23,9,46,226,118,573,631,781,3,4,9,98,12,24,97,103,106,845,563,756
"ZT3D7_G11",3,18,8,31,27,9,60,546,245,2428,2697,3439,20,27,45,382,51,61,286,262,241,5208,3475,3631
"ZT3D7_G12",0,0,1,0,0,0,6,92,24,54,57,42,0,1,0,11,1,0,4,6,2,58,17,33
"ZT3D7_G13",2,11,1,8,10,10,43,283,66,462,586,722,10,4,4,70,13,23,134,128,85,603,442,599
"ZT3D7_G14",0,2,0,0,2,6,22,250,48,428,532,775,0,4,3,42,16,7,59,36,22,292,270,425
"ZT3D7_G15",1,9,6,6,9,8,14,251,108,311,300,449,6,3,5,71,13,32,116,116,78,381,176,369
