"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G1",0,1,1,1,2,12,0,14,31,0,0,0,2,0,7,19,6,0,41,24,44,40,1,0
"ZT3D7_G2",2,0,1,9,2,263,0,154,263,14,10,15,10,4,9,441,112,2,572,219,379,317,1,2
"ZT3D7_G3",0,0,0,0,0,4,0,5,2,0,4,0,0,0,1,11,2,0,13,2,8,4,0,0
"ZT3D7_G4",0,0,0,3,0,14,0,10,27,0,0,0,0,3,7,52,15,0,46,18,29,25,0,1
"ZT3D7_G5",0,1,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,2,6,12,14,0,0
"ZT3D7_G6",0,5,6,12,3,398,4,321,498,9,7,14,9,8,18,326,159,1,457,316,386,341,5,1
"ZT3D7_G7",4,4,5,10,2,261,0,262,452,14,5,1,12,8,21,699,272,2,1053,348,408,397,3,1
"ZT3D7_G8",0,1,1,0,0,423,0,334,355,1,0,4,0,0,3,144,22,0,225,205,229,200,0,0
"ZT3D7_G9",3,5,7,3,1,323,2,286,444,5,7,6,3,13,18,359,149,2,452,271,362,292,2,2
"ZT3D7_G10",2,13,11,9,2,423,0,416,509,5,11,5,10,20,36,229,161,0,521,472,694,599,4,1
"ZT3D7_G11",7,15,11,31,10,3053,2,2504,3176,36,32,39,29,31,98,1028,424,3,2691,2139,3114,2751,6,10
"ZT3D7_G12",2,0,0,2,0,53,0,57,51,3,2,1,1,4,0,24,14,0,77,22,49,22,0,0
"ZT3D7_G13",3,6,2,10,5,377,2,371,429,7,20,9,14,6,28,632,197,0,924,356,532,449,3,0
"ZT3D7_G14",0,0,3,6,3,258,0,351,272,1,2,2,2,3,15,38,32,1,193,238,556,384,1,4
"ZT3D7_G15",0,4,8,6,8,237,1,225,248,10,6,3,12,8,17,257,128,1,400,205,375,336,3,0
"ZT3D7_G16",0,3,0,6,1,154,4,211,114,1,2,1,3,2,2,72,11,1,169,102,116,131,4,0
"ZT3D7_G17",8,203,153,275,133,465,6,374,422,320,151,58,404,333,1377,856,913,2,1615,1092,1212,1173,113,32
"ZT3D7_G18",2,17,12,23,10,2382,2,2573,2010,11,4,8,5,4,9,71,31,2,289,1405,1551,1396,12,4
"ZT3D7_G19",2,0,0,4,1,115,0,92,98,2,1,0,3,3,1,27,11,0,36,51,98,60,1,1
"ZT3D7_G20",1,5,10,20,8,731,5,776,855,1,9,3,6,9,19,564,144,1,1236,443,656,547,7,1
"ZT3D7_G21",1,0,2,11,4,397,2,434,434,14,7,18,14,11,25,255,90,0,699,535,721,574,0,6
"ZT3D7_G22",3,27,21,27,31,1315,7,1947,1468,20,17,21,18,39,93,1099,585,2,1771,1205,1614,1509,20,8
"ZT3D7_G23",9,0,2,5,6,9018,0,11158,9062,12,23,52,10,9,22,964,144,0,5204,15724,16634,17635,1,4
"ZT3D7_G24",0,0,0,0,0,69,0,116,81,0,0,0,0,0,0,26,3,0,34,56,66,51,0,0
"ZT3D7_G25",0,1,0,0,1,92,0,117,111,8,5,2,3,0,6,15,17,0,52,106,105,82,1,0
"ZT3D7_G26",56,34,41,15,11,7254,65,7593,7159,202,250,190,270,42,261,1296,469,38,3497,7271,7784,7837,92,97
"ZT3D7_G27",1,9,6,6,5,919,0,863,1128,18,8,15,26,5,32,194,104,0,392,1172,1277,1256,1,10
"ZT3D7_G28",0,2,0,0,0,139,0,87,120,3,0,0,0,0,1,36,6,0,67,191,223,172,0,0
"ZT3D7_G29",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,2,2,0,0,0
"ZT3D7_G30",0,0,0,0,0,7,0,4,9,0,0,0,0,1,1,11,3,0,26,14,24,12,0,0
"ZT3D7_G31",0,6,7,6,3,284,2,210,359,4,5,2,4,7,17,147,72,0,317,162,330,230,2,0
"ZT3D7_G32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"ZT3D7_G33",4,25,8,23,7,318,1,427,276,11,23,11,20,19,55,509,191,7,558,345,405,459,16,4
"ZT3D7_G34",1,3,4,5,4,108,0,130,116,2,3,4,2,2,11,81,38,1,57,43,84,71,0,0
"ZT3D7_G35",10,24,8,13,14,1009,8,989,1053,63,70,69,87,46,164,578,539,4,997,1198,2167,1826,5,4
"ZT3D7_G36",1,0,5,3,4,822,0,1587,662,8,11,2,5,6,18,275,93,0,349,879,892,974,4,2
"ZT3D7_G37",0,1,1,9,2,64,0,65,77,5,0,1,8,0,17,171,55,1,230,64,123,65,3,1
"ZT3D7_G38",1,1,2,1,2,172,0,149,143,5,4,1,1,1,4,81,23,1,146,86,182,148,2,0
"ZT3D7_G39",0,2,1,2,0,13630,2,11747,15973,5,4,2,6,1,4,122,22,0,438,487,516,562,0,0
"ZT3D7_G40",0,0,2,5,2,1541,0,1303,2317,2,5,3,2,7,10,299,105,4,980,1309,985,1004,3,0
"ZT3D7_G41",0,0,5,8,3,3408,0,3151,3969,0,0,0,1,8,10,246,87,0,1358,2274,2212,2450,0,0
"ZT3D7_G42",0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0
"ZT3D7_G43",0,0,0,0,0,721,0,651,706,0,0,0,1,7,1,318,88,0,1516,1134,1420,1430,0,0
