Run	Bases	SampleName	LibraryName	STRAIN	cultivar	mutatnt	rep	trt	total	mapped	pc.mapped
SRR3724127	7890643500	ST99CH_1A5	1A5-3-12d_R1	ST99CH_1A5	Drifter	0	1	12d	28606339	188061	0.006574102
SRR3724129	7831819000	ST99CH_1A5	1A5-5-12d_R1	ST99CH_1A5	Drifter	0	2	12d	27316573	311501	0.01140337
SRR3724131	10981540000	ST99CH_1A5	1A5-7-12d_R1	ST99CH_1A5	Drifter	0	3	12d	26889410	241701	0.008988706
SRR3724134	7779614750	ST99CH_1A5	1A5-8-14d_R1	ST99CH_1A5	Drifter	0	1	14d	27977947	740591	0.026470527
SRR3724136	7541175250	ST99CH_1A5	1A5-9-14d_R1	ST99CH_1A5	Drifter	0	2	14d	26712337	5703324	0.213508987
SRR3724138	9037895750	ST99CH_1A5	1A5-10-14d_R1	ST99CH_1A5	Drifter	0	3	14d	29251436	2672129	0.091350353
SRR3724140	6681168000	ST99CH_1A5	1A5-3-28d_R1	ST99CH_1A5	Drifter	0	1	28d	24027416	18038515	0.750747188
SRR3724142	10913007250	ST99CH_1A5	1A5-6-28d_R1	ST99CH_1A5	Drifter	0	2	28d	29103049	19193341	0.659495883
SRR3724145	7774982000	ST99CH_1A5	1A5-7-28d_R1	ST99CH_1A5	Drifter	0	3	28d	28142573	23171264	0.823352719
SRR3724110	19116395750	ST99CH_1A5	1A5-1-7d_R1	ST99CH_1A5	Drifter	0	1	7d	30471944	88419	0.002901653
SRR3724113	18199436000	ST99CH_1A5	1A5-7-7d_R1	ST99CH_1A5	Drifter	0	2	7d	27904747	225107	0.008066979
SRR3724125	22537326000	ST99CH_1A5	1A5-10-7d_R1	ST99CH_1A5	Drifter	0	3	7d	30540791	91670	0.003001559
SRR3724153	11058428250	ST99CH_1E4	1E4-3-12d_R1	ST99CH_1E4	Drifter	0	1	12d	29566170	2422573	0.081937329
SRR3724156	8753704500	ST99CH_1E4	1E4-6-12d_R1	ST99CH_1E4	Drifter	0	2	12d	29795604	417171	0.014001092
SRR3724158	7542856000	ST99CH_1E4	1E4-7-12d_R1	ST99CH_1E4	Drifter	0	3	12d	27208875	636206	0.023382297
SRR3724160	6610386000	ST99CH_1E4	1E4-5-14d_R1	ST99CH_1E4	Drifter	0	1	14d	23718777	2465236	0.10393605
SRR3724162	7524303250	ST99CH_1E4	1E4-8-14d_R1	ST99CH_1E4	Drifter	0	2	14d	25263546	2271580	0.089915327
SRR3724164	7418546250	ST99CH_1E4	1E4-10-14d_R1	ST99CH_1E4	Drifter	0	3	14d	26615032	2409511	0.09053196
SRR3724167	8871723250	ST99CH_1E4	1E4-3-28d_R1	ST99CH_1E4	Drifter	0	1	28d	30838611	26005083	0.843263758
SRR3724169	11780123000	ST99CH_1E4	1E4-4-28d_R1	ST99CH_1E4	Drifter	0	2	28d	29042657	19181730	0.660467463
SRR3724171	11902976000	ST99CH_1E4	1E4-6-28d_R1	ST99CH_1E4	Drifter	0	3	28d	29706234	20806611	0.700412277
SRR3724147	21831328250	ST99CH_1E4	1E4-4-7d_R1	ST99CH_1E4	Drifter	0	1	7d	27121964	182236	0.00671913
SRR3724149	18860438750	ST99CH_1E4	1E4-5-7d_R1	ST99CH_1E4	Drifter	0	3	7d	31149074	230719	0.00740693
SRR3724151	28580619500	ST99CH_1E4	1E4-6-7d_R1	ST99CH_1E4	Drifter	0	4	7d	29995048	266534	0.008885933
SRR3724068	9681350500	ST99CH_3D1	3D1-8-12d_R1	ST99CH_3D1	Drifter	0	1	12d	29814223	189431	0.006353712
SRR3724133	9642234500	ST99CH_3D1	3D1-2-12d_R1	ST99CH_3D1	Drifter	0	3	12d	29789225	133112	0.004468461
SRR3724155	7427349500	ST99CH_3D1	3D1-5-12d_R1	ST99CH_3D1	Drifter	0	4	12d	27108834	72151	0.002661531
SRR3724070	10066308336	ST99CH_3D1	3D1-7-14d_R1	ST99CH_3D1	Drifter	0	1	14d	25604714	150660	0.005884073
