genes logFC logCPM PValue FDR
ZT3D7_G9064 -3.17307890540159 10.2696887754858 5.07069499845788e-20 4.17521026173022e-16
ZT3D7_G10335 5.19056655625384 8.56756553185701 8.18847368840186e-17 3.37119461751505e-13
ZT3D7_G7782 -2.8782217682107 10.0805909380737 3.80081089992789e-16 1.04319589833354e-12
ZT3D7_G8504 9.08094974200301 7.8958816172794 1.06438112477642e-15 2.07892628481101e-12
ZT3D7_G7837 -3.39931979643475 15.9465818148276 1.26240362206158e-15 2.07892628481101e-12
ZT3D7_G10163 9.03901302796481 7.85945437383171 2.41956342210825e-15 3.32044753627323e-12
ZT3D7_G7838 -3.43611494254046 16.0596869269137 3.77788353877766e-15 4.44387043689932e-12
ZT3D7_G7791 -2.97788082043227 10.0509526352887 3.25038382095569e-14 3.34545754771864e-11
ZT3D7_G7633 -3.03888616026872 9.09824595856831 1.67768237890359e-11 1.47255439782693e-08
ZT3D7_G9653 -3.43416750487987 8.54421987904779 1.78838280037276e-11 1.47255439782693e-08
ZT3D7_G6193 5.30852930583784 9.33083596944072 4.58393170987242e-11 3.21382722673562e-08
ZT3D7_G5547 -3.85268202478279 7.98589322339611 4.68374140403539e-11 3.21382722673562e-08
ZT3D7_G451 8.34437364277424 7.26732337613248 5.39744008984726e-11 3.41865551536941e-08
ZT3D7_G4535 8.32860175576598 7.25431068043234 5.89901704113685e-11 3.46946473690863e-08
ZT3D7_G5121 8.73696186322542 7.60197992549978 1.40858151623115e-10 7.73217346976487e-08
ZT3D7_G7788 -2.65226080778542 9.70277747694828 1.69395402464671e-10 8.71751089933813e-08
ZT3D7_G941 7.94188173451043 6.93402234030883 7.25303889096894e-10 3.51303071930813e-07
ZT3D7_G4188 4.30872254629235 8.14311731776611 9.57896238201235e-10 4.38184312519387e-07
ZT3D7_G9746 3.97855845495947 8.16600753080768 2.07935819359244e-09 8.33546797077935e-07
ZT3D7_G7722 -2.5856513077222 8.05828259213938 2.1134297618472e-09 8.33546797077935e-07
ZT3D7_G7750 -3.26235052129716 7.78112077847771 2.16078950480001e-09 8.33546797077935e-07
ZT3D7_G630 7.89732025443257 6.89792828165376 2.22711070387595e-09 8.33546797077935e-07
ZT3D7_G618 7.71629918342009 6.75064533135757 1.17279760624974e-08 4.19861543037406e-06
ZT3D7_G2243 7.69506663567958 6.73418303087335 1.65577312689219e-08 5.68068163617929e-06
ZT3D7_G5851 3.00269236472815 8.88847020882236 1.97391530944314e-08 6.50128746318194e-06
ZT3D7_G2242 7.6253085714947 6.67816645698565 2.16927076304136e-08 6.86991363957022e-06
ZT3D7_G9858 -2.52338084411721 7.86929785760304 4.34572607663508e-08 1.28476940050337e-05
ZT3D7_G2020 4.10202878444172 7.13772135917614 4.36890250353345e-08 1.28476940050337e-05
ZT3D7_G4980 7.6561298984801 6.70220339806395 5.53343559068142e-08 1.57111409150589e-05
ZT3D7_G7157 7.84297563403283 6.85310896139629 6.62321017028065e-08 1.8178504180697e-05
ZT3D7_G1914 4.78042539324516 6.94335758064357 9.11530848592914e-08 2.42114355074647e-05
ZT3D7_G3896 3.73022559618119 7.67279427342633 1.50873442716077e-07 3.88216227288805e-05
ZT3D7_G7161 -7.20772912554861 5.44112371639232 1.77802712697144e-07 4.43644707984328e-05
ZT3D7_G7549 3.83986583607594 8.75719070806256 1.86371536860066e-07 4.5134801014876e-05
ZT3D7_G7831 -2.60785667925075 8.28328576862936 1.92545776012622e-07 4.52977691339407e-05
ZT3D7_G4259 -3.17813144392165 6.11616289549221 2.47425702211653e-07 5.65917564447432e-05
ZT3D7_G6567 -2.71167534556367 7.3985028697997 2.67324401351803e-07 5.94905167765066e-05
ZT3D7_G2241 7.33253248056251 6.44534058661167 3.13644345420924e-07 6.79617773735759e-05
ZT3D7_G9756 -2.95456664960891 7.12734179486656 3.22437666469348e-07 6.80756857874003e-05
ZT3D7_G1489 5.09372106442254 7.17736962330295 3.80669828863704e-07 7.83608842715935e-05
ZT3D7_G5704 7.75070439833724 6.78248627274615 4.06486447709323e-07 8.16343758643552e-05
ZT3D7_G2377 7.50438858143441 6.57865309363824 4.62097659201891e-07 9.05931458540089e-05
ZT3D7_G8219 4.04217381361592 7.10532897070396 4.80920059801385e-07 9.20905993582466e-05
ZT3D7_G5974 -2.20143714182898 8.11718144876131 5.63352617609523e-07 0.000105423760304473
ZT3D7_G7847 5.00792801435345 7.13895975266709 8.06552192082836e-07 0.000144592747514938
ZT3D7_G11249 -6.11660854578474 5.73004732160762 8.07780712373957e-07 0.000144592747514938
ZT3D7_G8544 2.78754190618101 8.28121308740841 8.76777549295084e-07 0.000153603964699909
ZT3D7_G4705 1.66633491420774 9.98759786277722 1.46301695380152e-06 0.000250968366616703
ZT3D7_G6713 2.86221589597931 7.46398333464493 2.32798110915056e-06 0.000391195845974402
ZT3D7_G9283 5.2087258891327 7.3090840475295 3.06237722124129e-06 0.000504312280794016
ZT3D7_G1750 3.31867506113926 6.9785117083015 3.18552002242512e-06 0.000514305330679381
ZT3D7_G3616 -2.26094531909629 8.86424928464142 3.34250955670524e-06 0.000529273532498287
ZT3D7_G7783 -2.47412607315293 7.88779887649942 3.90023779108187e-06 0.000605935056071097
ZT3D7_G7808 -2.08421843469496 7.94299493737605 4.20701865075601e-06 0.000641492436487499
ZT3D7_G6563 3.03199652694745 9.01315792248528 4.29481522316687e-06 0.000642972882682836
ZT3D7_G527 -1.66568613210988 10.9121905549842 4.43422979319812e-06 0.000651990144949881
ZT3D7_G4534 7.19904584928311 6.34075654604729 5.04402959707002e-06 0.00072608419312452
ZT3D7_G2112 2.865374642804 7.2162073308467 5.114510954727e-06 0.00072608419312452
ZT3D7_G11383 3.74129708118573 6.84706087143189 5.51992149418532e-06 0.000770356501408846
ZT3D7_G3209 2.74902008956613 8.29899990451161 6.00946053221538e-06 0.000812476123878096
ZT3D7_G9782 6.95488274212253 6.15243105178244 6.01907257184404e-06 0.000812476123878096
ZT3D7_G7938 -4.32000995114057 5.29331687268921 6.13034950309323e-06 0.000814149964652737
ZT3D7_G1667 2.56531082779367 11.7491822560706 6.54097242378395e-06 0.000843424574350517
ZT3D7_G4338 -1.43852096248311 13.0526291095434 6.5613910260975e-06 0.000843424574350517
ZT3D7_G17 2.7190640720387 8.55513091847279 6.65807594520083e-06 0.000843424574350517
ZT3D7_G10630 6.94848905732262 6.14730903573595 7.82401544460414e-06 0.000975718177019728
ZT3D7_G10159 4.68019922519239 6.86491367515845 7.93941193348576e-06 0.000975718177019728
ZT3D7_G10854 -2.99674449318393 5.87826059557143 8.31014982704498e-06 0.00100626137758659
ZT3D7_G2172 2.27801041144326 9.32075750925966 9.00820128255439e-06 0.00107497868638482
ZT3D7_G770 4.16968217657016 6.44717844332526 9.50524292887514e-06 0.00111808814680511
ZT3D7_G5308 3.52723857179452 6.68411171026545 9.95328092493757e-06 0.0011543002131822
ZT3D7_G10334 6.97216124138532 6.16520722205176 1.14826043286782e-05 0.0013131633894769
ZT3D7_G7499 2.26361216074011 8.29613372488297 1.19869710701123e-05 0.00135206465467541
ZT3D7_G5941 -1.65057114716651 8.4462473704121 1.21739452712592e-05 0.00135459818058849
ZT3D7_G11140 6.79588397269023 6.03194650949222 1.30302229946429e-05 0.0014305447485052
ZT3D7_G8709 -2.58039664286147 6.28266049924299 1.36582790518965e-05 0.00147976670675415
ZT3D7_G6734 2.15446496310384 8.39074697048898 1.50921588801272e-05 0.00161388098985672
ZT3D7_G2240 6.872936665831 6.08778448800771 1.56818392900363e-05 0.00165543929120717
ZT3D7_G3383 -1.99448387877445 7.34525532816906 1.61829256342313e-05 0.00168671151483874
ZT3D7_G4802 -1.97581870643554 8.52342338350315 1.71275499765588e-05 0.00176285308133732
ZT3D7_G7754 -2.62972003175144 7.49609209766797 1.77618155938538e-05 0.00180556530370114
ZT3D7_G7646 -2.29987775378982 6.9961574252653 1.87061928721699e-05 0.00187837551352984
ZT3D7_G466 6.71578205816696 5.971213136964 2.00504738766895e-05 0.00198910363735736
ZT3D7_G1457 3.02651320035032 7.07728362783685 2.17114818446021e-05 0.00212824216081493
ZT3D7_G2053 4.00641440978999 6.32335130555288 2.40153633846977e-05 0.00232638237776001
ZT3D7_G4092 6.64765141826947 5.92005441170757 2.48318723845733e-05 0.00237750740947182
ZT3D7_G5098 6.58662793085568 5.87532549517401 2.60028156949613e-05 0.00246100211991162
ZT3D7_G6446 3.19460820932432 7.50602504370057 2.6413580094422e-05 0.00247147066474398
ZT3D7_G5586 3.66434347840221 6.82210880947512 2.68741975203846e-05 0.00248037097944683
ZT3D7_G8367 6.8260229477105 6.05465693078037 2.71111717452289e-05 0.00248037097944683
ZT3D7_G2131 2.11436645969865 8.23423432501698 2.85702755641786e-05 0.00258513899994996
ZT3D7_G1303 -1.70385188880097 7.93077494286309 3.0441386696998e-05 0.00272450410938132
ZT3D7_G1124 2.19679875994889 8.1186522494212 3.31415883054053e-05 0.00292096613526997
ZT3D7_G8141 7.14301884335394 6.30540615319318 3.33459821126278e-05 0.00292096613526997
ZT3D7_G8192 6.54711652603956 5.84654261576124 3.64294440504435e-05 0.00315747412959317
ZT3D7_G814 6.55391712460863 5.85177069399483 3.88975833323767e-05 0.00333627813707073
ZT3D7_G4375 -1.599601246276 10.8668633544202 3.99535993634193e-05 0.00339152512534428
ZT3D7_G981 -2.40540811893991 6.87568173076611 4.11753095429077e-05 0.0034595663140439
ZT3D7_G8671 1.72312608245011 8.65618364879658 4.22657522751002e-05 0.0035153151942745
ZT3D7_G3382 -2.65054751087361 5.91401712237852 4.38199914404346e-05 0.00360813809520538
ZT3D7_G8858 1.6159937951767 9.80694598372143 5.23261228532082e-05 0.00426587421359719
ZT3D7_G7133 -3.38952822510613 5.30081811187292 5.56690760732237e-05 0.00449391345477377
ZT3D7_G8455 3.86645021725457 7.40039429974356 5.99045032887741e-05 0.00478887068038608
ZT3D7_G11566 2.32591024782296 8.10782881063221 6.24179677512373e-05 0.00494182256215084
ZT3D7_G10226 2.79064614882309 6.92028108684243 6.48600938134158e-05 0.00508626678533015
ZT3D7_G6508 3.91167413651919 6.26280801213345 6.84779708648367e-05 0.00531931709529307
ZT3D7_G4494 -3.4773222749475 5.20679791039239 6.93721009849643e-05 0.00533841008888034
ZT3D7_G6120 3.19017753490796 6.42780597825598 7.13470998227169e-05 0.00543955574018751
ZT3D7_G6706 2.87296026266639 6.9723320536363 7.66914492996804e-05 0.00579337058287678
ZT3D7_G6301 7.08749879674619 6.234777002835 7.81994588026207e-05 0.00585358494346163
ZT3D7_G6104 4.42245583706837 6.62985988622507 8.09222967671109e-05 0.0060028305547783
ZT3D7_G902 1.57187122789155 10.1208612513961 8.5618906930123e-05 0.00629451856841636
ZT3D7_G4714 6.46123148673707 5.78310150989442 8.72558348098396e-05 0.00635809330817893
ZT3D7_G9626 2.23433508759165 7.92588070206994 9.07432920279213e-05 0.00655421286454302
ZT3D7_G8853 -3.90351109855713 4.95450323567584 9.32212178890817e-05 0.00667463920085825
ZT3D7_G9716 -2.63729215590368 5.84632718583412 9.46415329097592e-05 0.0067179170860255
ZT3D7_G4307 2.67592678204636 6.83282927992175 0.000103558503230507 0.00725191629006059
