genes logFC logCPM PValue FDR
ZT3D7_G343 -15.6616441740366 7.88380165191079 0 0
ZT3D7_G11112 -9.60853888642988 9.19555692772228 0 0
ZT3D7_G11140 -10.0846034544046 7.21548101119431 2.65931448738089e-309 8.41407103807312e-306
ZT3D7_G10300 7.54505679429627 9.54091615373035 3.22961604721743e-298 7.66387888004696e-295
ZT3D7_G11182 8.62966475577567 10.2283674080853 1.67689934817398e-281 3.18342572257348e-278
ZT3D7_G11194 8.4333755447486 8.26304438443419 1.30847611712828e-280 2.07000921729695e-277
ZT3D7_G2299 6.52759167957453 8.45715828035425 6.34494870512495e-276 8.60375044414943e-273
ZT3D7_G6471 7.74189424763484 6.40343595130055 6.90177817066213e-275 8.18895979949062e-272
ZT3D7_G11413 8.01025174396083 6.97865105472948 1.23328362415809e-274 1.3007031289454e-271
ZT3D7_G6304 7.44134386833549 8.21168338977326 3.31643637747946e-273 3.14796140950351e-270
ZT3D7_G5794 6.58063474671945 8.90775939284532 8.02103764115149e-273 6.92142629907363e-270
ZT3D7_G451 -10.1918882217384 6.51734482100031 7.95944387418269e-266 6.29592010447851e-263
ZT3D7_G5533 -13.5728276904041 5.81082034492318 3.23833420735037e-264 2.36448217662844e-261
ZT3D7_G9984 -10.6203009272435 5.75369791366825 2.69485071069289e-261 1.82710878184978e-258
ZT3D7_G7180 6.55044926665122 8.62847969135282 1.29796492161908e-258 8.21352202400551e-256
ZT3D7_G4202 -7.98965182898968 6.78219265404388 1.64393665483988e-258 9.75265420483756e-256
ZT3D7_G1854 6.20199400535252 8.23725374258148 1.11659440054436e-257 6.23453767645123e-255
ZT3D7_G5198 6.11398273525212 8.39027675837803 7.06036983576349e-257 3.72316836005928e-254
ZT3D7_G3168 -7.2544082614966 6.43970719786075 7.45550677257825e-253 3.72461422554278e-250
ZT3D7_G2247 -11.4773941412164 5.79212949180802 2.75705837985106e-250 1.30849990707731e-247
ZT3D7_G8504 -10.4122945328164 5.54887750134898 6.12884053835266e-248 2.7702359233354e-245
ZT3D7_G1665 6.50606108711746 6.12876610642663 2.23482118451693e-243 9.64223758337942e-241
ZT3D7_G6259 6.83458063492749 8.76471361210707 7.3143491970409e-243 3.01860011210053e-240
ZT3D7_G6752 5.7629244686107 10.4944898748792 1.07016725238725e-240 4.23251148319156e-238
ZT3D7_G8838 6.46995675962555 7.62045219714885 1.18048798724944e-240 4.48207678998866e-238
ZT3D7_G9282 -9.39980374310833 5.43871818106421 6.51191639829662e-236 2.37735040202429e-233
ZT3D7_G9571 6.03018812223525 6.5575156908317 2.51727646340112e-233 8.84962525577905e-231
ZT3D7_G2334 7.18343588416721 10.1425382353185 1.6642853893082e-232 5.6419274697548e-230
ZT3D7_G8221 -9.38579494034838 5.42525654780802 8.08285614633241e-232 2.64560243244784e-229
ZT3D7_G4684 7.11926187965938 7.81579263012569 1.1172508327247e-228 3.53498163474096e-226
ZT3D7_G6302 7.06123190000423 8.59612117861059 2.02233625947119e-224 6.19226315319372e-222
ZT3D7_G2559 5.56072415163466 8.08335414545388 1.58035122203182e-219 4.68771681235188e-217
ZT3D7_G1717 8.11659236469934 8.16631809483652 4.85890760038366e-218 1.39759851341944e-215
ZT3D7_G4535 -7.5975099410003 7.27712110782799 2.09554703301817e-215 5.85027424629661e-213
ZT3D7_G6305 5.85429885998557 9.12936966358421 8.92504167651949e-215 2.42047130267209e-212
ZT3D7_G9564 -11.1456565364142 5.46566233549368 1.41057072261511e-212 3.71920480529518e-210
ZT3D7_G3225 8.20723328868775 10.1907767141479 7.76709421295554e-211 1.99257454782092e-208
ZT3D7_G2249 7.44938334806609 8.35037141407587 7.65053501020143e-208 1.91102311360084e-205
ZT3D7_G2884 -5.58663462879783 7.34222825538183 1.8055821545869e-207 4.39450918239457e-205
ZT3D7_G405 -12.8972487051703 5.14614658120999 5.96518115485973e-207 1.41553748804821e-204
ZT3D7_G4563 -6.25121991711868 8.46649246238179 5.79997190154155e-205 1.34276422657152e-202
ZT3D7_G6460 5.35160229599768 6.66588809198241 1.05985386807585e-202 2.39526974185142e-200
ZT3D7_G3579 5.6761827827574 6.048304550691 7.3873136929248e-200 1.63070654821494e-197
ZT3D7_G11366 -12.8872953935174 5.13685547210755 3.65366561273032e-197 7.88195318091733e-195
ZT3D7_G7723 5.13377702654007 8.53038064644537 6.51538741803256e-197 1.37431238604367e-194
ZT3D7_G2350 6.31373623820252 5.58515199281207 4.03560507906596e-196 8.32738335010741e-194
ZT3D7_G618 -5.56340929007894 6.68036089604908 4.71765064079873e-195 9.52764678350246e-193
ZT3D7_G10424 -7.08953170011348 5.62839739266788 3.03253562122014e-194 5.99683919096283e-192
ZT3D7_G11036 -9.27511035326425 4.94316516442496 1.36970511583597e-191 2.65331448153368e-189
ZT3D7_G132 6.86770322068434 6.48082921854524 1.47099081698387e-188 2.79252896696219e-186
ZT3D7_G1861 6.82732292381211 8.00485871544754 1.06686606876274e-187 1.98562602445019e-185
ZT3D7_G5297 4.95780144355868 7.06435826138414 1.15678581351598e-184 2.11157902728724e-182
ZT3D7_G4222 -5.01200842738775 6.75235500012165 2.29516928060044e-184 4.11051826631308e-182
ZT3D7_G4448 5.42281593956707 6.71501510229024 3.99941128268578e-182 7.03007627689879e-180
ZT3D7_G628 -12.7416264990564 4.99350387487968 1.50238668764407e-181 2.59284626165774e-179
ZT3D7_G8564 5.4267063323689 8.20406019764117 1.36253104827839e-180 2.30949012683187e-178
ZT3D7_G11341 -5.74131618221443 8.21415508239385 7.84457426738811e-180 1.30632805168505e-177
ZT3D7_G2246 -11.1050700393567 5.42537676746443 6.35021463473623e-179 1.03924547091235e-176
ZT3D7_G5203 5.01078019327661 8.41624207892727 5.66120079577691e-177 9.10781660229059e-175
ZT3D7_G11310 4.82356056808635 5.9470180624082 4.869537865772e-176 7.70360890365131e-174
ZT3D7_G8910 5.5276671347603 6.38414579917315 1.06166936801884e-173 1.65202715430079e-171
ZT3D7_G2049 4.53544145376312 7.90561769021589 1.28542458098331e-172 1.96794356817639e-170
ZT3D7_G7122 4.41321262555557 6.14455597150815 2.72986017478732e-172 4.11298933001289e-170
ZT3D7_G8390 5.93880971953933 8.4662623454115 1.49722325283254e-170 2.22056923685726e-168
ZT3D7_G6278 4.76563058136819 7.95406499752757 3.29653821410533e-168 4.81396011204428e-166
ZT3D7_G9980 -9.57623550373562 4.730089908523 3.95097867730098e-168 5.68222569771832e-166
ZT3D7_G4527 -7.75137008797892 4.75586990169425 2.3639199581351e-167 3.34900421531617e-165
ZT3D7_G10683 5.88616497971815 9.17800630999533 1.98681626017984e-166 2.77336175612162e-164
ZT3D7_G4879 4.78440858319451 8.39586965998405 2.0545330870008e-166 2.82632290750892e-164
ZT3D7_G2514 5.85175768646912 5.97549210258471 1.32281102301908e-165 1.79373174721387e-163
ZT3D7_G8860 -5.61540912563492 5.41322149520734 3.61870407711423e-165 4.83785057746032e-163
ZT3D7_G10893 4.9578105475494 8.75229556804601 2.18095334774348e-164 2.87522349677516e-162
ZT3D7_G3966 -6.18937184351092 5.39740210786014 6.15562112248086e-163 8.00399393076552e-161
ZT3D7_G7397 4.16394125903085 6.21453886675899 2.94970822240571e-162 3.78359870906419e-160
ZT3D7_G10557 -4.79091471230134 6.04000422984911 7.9886455241232e-159 1.01104297753303e-156
ZT3D7_G7574 7.40331570737595 6.46959967389914 5.83389059575223e-158 7.28622230722108e-156
ZT3D7_G7321 -4.636702068591 5.40663272544757 1.58264062044969e-157 1.95096425575434e-155
ZT3D7_G4203 -5.48236329396733 5.85023935118612 1.85514387922043e-157 2.25756739763593e-155
ZT3D7_G2205 4.35984659383054 5.96522969370994 4.13197264244557e-157 4.9646435850751e-155
ZT3D7_G3921 5.07949558348033 6.51405874272044 4.72028680968465e-157 5.60062029969084e-155
ZT3D7_G10049 5.61193783317918 9.97753971927769 5.32638943454957e-157 6.24173932256105e-155
ZT3D7_G8566 4.79607376146947 6.9387199052906 2.2970280702731e-156 2.65895005402832e-154
ZT3D7_G6582 6.21856786614355 9.09673556671287 2.99751653530519e-156 3.42800324736347e-154
ZT3D7_G10688 4.43053818270814 5.49695170504175 9.88053465823675e-156 1.11650041638075e-153
ZT3D7_G887 4.66614862599985 5.72528499030258 1.20958241300984e-155 1.35074779579875e-153
ZT3D7_G6390 4.62768430291364 6.63211730185685 1.67667059443976e-155 1.85057642818863e-153
ZT3D7_G3380 -12.3525011483401 4.6138633489746 8.05571639120388e-155 8.78906436612726e-153
ZT3D7_G6670 -5.00082171586331 7.90557989584358 8.33004412220478e-155 8.98508850090543e-153
ZT3D7_G7728 -6.55407145630624 6.05438469282415 5.99236631772554e-154 6.39095967279223e-152
ZT3D7_G6160 4.58257071199869 5.30446272769911 8.25056591171245e-154 8.70159684821939e-152
ZT3D7_G10141 -10.0051905102649 4.35130843945373 1.70487053074434e-153 1.77831110745333e-151
ZT3D7_G8913 4.89870449847956 6.25169645649087 3.84842390032188e-153 3.97056952846253e-151
ZT3D7_G7100 5.06779791963511 6.60291783287009 1.79695683361478e-151 1.83405529727651e-149
ZT3D7_G5154 4.71259911613364 8.98801106722203 7.88301351024046e-151 7.96016640842579e-149
ZT3D7_G8907 5.77811032207409 5.60958354477904 4.23136537383726e-150 4.22780211878561e-148
ZT3D7_G11034 -7.97684602009381 4.34576489938107 6.26332760876186e-149 6.19286517316329e-147
ZT3D7_G3360 -5.22078923894894 7.51899876670367 1.22031199788808e-148 1.19414448288182e-146
ZT3D7_G4534 -5.87098199223866 5.4462504372653 1.76325800764205e-148 1.70784132740188e-146
ZT3D7_G9756 4.2536490787588 7.07298183002625 1.18883104869619e-147 1.13983679941659e-145
ZT3D7_G11139 -8.35541420225301 4.41980184592459 3.3753427997804e-147 3.20387538555155e-145
ZT3D7_G4185 4.4321213018188 6.62073707059348 9.36261709332915e-147 8.79900608414656e-145
ZT3D7_G9153 -9.92285290692115 4.27168968607908 1.00146559552262e-146 9.31952101245164e-145
ZT3D7_G8192 -7.09759018350697 5.30936904900728 2.95153304908457e-146 2.71999531086512e-144
ZT3D7_G741 4.00396952328507 7.46581242854287 4.31183235745698e-145 3.93537622470978e-143
ZT3D7_G3769 4.91446705512758 5.31507003374309 7.40323663624786e-145 6.69252591916806e-143
ZT3D7_G7732 -5.22059299716216 7.0050326202404 1.92753731123436e-144 1.7260551092676e-142
ZT3D7_G2200 5.21820065679342 6.64740480549742 1.08340360778298e-143 9.61090378044488e-142
ZT3D7_G9350 4.10836041739905 8.49298359543928 6.65883261801931e-143 5.85237400094808e-141
ZT3D7_G4842 5.85730309785746 8.63548902270806 1.70056246488967e-142 1.48089347859933e-140
ZT3D7_G5348 5.11693343505611 6.46514905282139 2.12767745274029e-142 1.83599221649189e-140
ZT3D7_G1680 4.04601244843093 8.69801567907827 2.79572260628794e-141 2.39072062872839e-139
ZT3D7_G630 -8.14525038359375 6.40969780914235 4.30274354476679e-141 3.64657515418985e-139
ZT3D7_G627 -9.93331862637188 4.28229570155752 5.44870675732427e-141 4.57691367615239e-139
ZT3D7_G941 -6.51403596849466 5.18006601089729 8.56794646421772e-141 7.13394279283813e-139
ZT3D7_G2449 4.22943929933935 5.0921446846798 1.5699774067832e-140 1.29584569958141e-138
ZT3D7_G10559 3.91555281550783 7.59313009890778 1.80408032199628e-140 1.47623538072317e-138
ZT3D7_G8426 6.50412922429306 4.3771931531203 4.7588927075897e-140 3.86080423764457e-138
ZT3D7_G5714 4.38332941748048 6.23003746909461 1.36889515235357e-139 1.10114854119831e-137
ZT3D7_G4370 3.83183168537408 6.57035786797345 2.31969954172309e-139 1.85030151680971e-137
ZT3D7_G9355 3.89976327344821 5.56967103637133 3.9527356645664e-139 3.12661391067202e-137
ZT3D7_G5554 4.2600740890634 5.64098377358491 1.38796082519639e-138 1.08880364898877e-136
ZT3D7_G10256 -9.92045614431926 4.26934641411663 9.34736515548955e-138 7.27255656195957e-136
ZT3D7_G7087 -12.0118481192529 4.2837412544807 2.50499669279043e-137 1.93312427707047e-135
ZT3D7_G4537 -8.30025142948669 4.65857522137038 3.35380289437265e-137 2.56728202204719e-135
ZT3D7_G5204 4.6048330906125 4.81953934053094 4.24833772658278e-137 3.2260177360579e-135
ZT3D7_G3589 4.16722371007313 5.4415631127824 1.11123670621778e-136 8.37131652017397e-135
ZT3D7_G8871 -5.42168677221766 4.7981368772183 1.86429333630938e-136 1.39337577545264e-134
ZT3D7_G4077 -11.8740337988675 4.14925442888303 6.04905380240966e-136 4.48575146034942e-134
ZT3D7_G11193 6.64621438310854 9.51955707706446 5.92896408314934e-135 4.36261450211268e-133
ZT3D7_G10587 3.94001391730403 5.74289802843162 8.87778374182618e-135 6.48214794441647e-133
ZT3D7_G8414 -3.94865446728676 5.65109996320105 2.16023353570212e-134 1.56526234510569e-132
ZT3D7_G7432 -4.1264569070538 6.41866232915063 9.50376703747507e-134 6.83407247876616e-132
ZT3D7_G6863 4.04419492296721 5.72863301485939 2.86999490938959e-133 2.04827005112226e-131
ZT3D7_G8761 3.67902918598759 6.82668266736935 1.47221478703829e-132 1.04285542974384e-130
ZT3D7_G6906 -9.68008109966322 4.03688811175239 3.96985301706296e-131 2.79124776577493e-129
ZT3D7_G10675 3.95044487721107 6.02301098930052 3.4667350638309e-130 2.41957714896198e-128
ZT3D7_G8909 4.65128446119016 5.77416757429785 7.28882006648942e-130 5.05003504168741e-128
ZT3D7_G6420 3.58823561623316 7.31518826314555 1.47581966341549e-129 1.01510726414057e-127
ZT3D7_G5526 -9.35627435489849 4.51730137985036 1.76593896791581e-129 1.20592033693934e-127
ZT3D7_G9352 3.63107732912354 8.41050609982954 3.66671901698203e-129 2.48603549351382e-127
