genes logFC logCPM PValue FDR
ZT3D7_G630 -14.2051046057504 8.11069153640485 0 0
ZT3D7_G451 -13.9672202448561 6.05514734004849 0 0
ZT3D7_G9282 -13.8727253371159 5.96072744722388 0 0
ZT3D7_G9984 -13.8192429550131 5.90744773119929 0 0
ZT3D7_G941 -13.6903250416747 5.77816084000186 0 0
ZT3D7_G9283 -12.0983539753776 7.95333385379616 0 0
ZT3D7_G11140 -10.9328639438022 6.48788961427738 0 0
ZT3D7_G3616 10.4504207509125 7.69757543410281 0 0
ZT3D7_G4535 -8.98992718498568 7.85429345140982 0 0
ZT3D7_G4534 -8.55148826790047 7.28024075774082 0 0
ZT3D7_G3579 7.26949987184303 6.69406851900725 0 0
ZT3D7_G2291 -6.71621845934814 6.66314618411653 0 0
ZT3D7_G2599 -5.36376361536199 7.0531320721349 2.74309940854319e-308 1.7414461091313e-305
ZT3D7_G618 -6.47439595501113 6.82084397699665 4.90765260256756e-299 2.89306120921358e-296
ZT3D7_G9010 -4.62093488105133 9.79977716888245 1.82471401303404e-284 1.00395764997133e-281
ZT3D7_G8139 8.49152741428129 5.01191350404492 2.37712817991573e-282 1.22615242930278e-279
ZT3D7_G8504 -11.0635493911324 4.95266057206258 3.96357243694424e-274 1.92419784247652e-271
ZT3D7_G4527 -5.60537457320714 5.49259056966042 1.45988924519691e-272 6.69359218922781e-270
ZT3D7_G1076 4.1810731137675 6.36389191177774 1.02956381470051e-247 4.47210008564385e-245
ZT3D7_G763 -9.08950966067556 4.62988246063778 2.24565122413748e-244 9.26667977640332e-242
ZT3D7_G10297 -4.36830214122294 6.17716742948667 1.20979636709236e-236 4.75449972267299e-234
ZT3D7_G5245 -5.06364834950716 5.57847856943274 2.22685608463856e-231 8.35374693932819e-229
ZT3D7_G8860 -5.95132048655021 5.00917554200626 3.85782256684023e-231 1.38428737583184e-228
ZT3D7_G11172 6.06691522033992 7.23829483076296 3.92373885025945e-220 1.34927569713297e-217
ZT3D7_G2246 -10.5726369493588 4.4567219365576 3.53906666609246e-219 1.16831668781044e-216
ZT3D7_G5729 -5.71665198346254 4.91650990119682 1.37232808425904e-214 4.35608603053456e-212
ZT3D7_G8221 -11.9511218315975 4.02404067688745 1.289881053148e-212 3.94273641912238e-210
ZT3D7_G10950 -4.45045759453771 8.84701399110496 1.52032811590824e-209 4.48116712163954e-207
ZT3D7_G9727 -3.82807785105572 5.61133099599544 2.83270931656221e-207 8.06149999640962e-205
ZT3D7_G622 -9.51796245652996 4.18209309926796 7.01818907843717e-206 1.93070381547807e-203
ZT3D7_G11136 4.92070561986536 5.02429467485308 6.28503117638364e-203 1.67323749350626e-200
ZT3D7_G11459 -7.05758646246768 4.40873575065424 3.27770030518821e-199 8.45339394334947e-197
ZT3D7_G6273 -9.23957538312153 3.90217526748053 3.14766262726506e-198 7.87201807964197e-196
ZT3D7_G4381 3.85989909219605 10.1881846289796 6.45809451923201e-197 1.56760747256535e-194
ZT3D7_G9153 -8.67480052588735 3.8402670434941 7.55872923435053e-196 1.78234835345986e-193
ZT3D7_G6303 -10.386700144108 4.27231361737737 1.06772105994659e-195 2.44775052992755e-193
ZT3D7_G5650 -3.99814839445685 6.92727570580415 1.17400722480689e-192 2.61867070981926e-190
ZT3D7_G4537 -8.35370819666271 3.89102613237139 7.275805103067e-190 1.58018998725295e-187
ZT3D7_G8192 -11.8935275413321 3.96233558065712 1.12715869527399e-185 2.3852412082298e-183
ZT3D7_G606 -9.02739554086529 3.68740533183322 5.48509282752552e-184 1.1317117776392e-181
ZT3D7_G10424 -9.04889070567279 3.70965743886334 1.00735124466092e-183 2.02772434687478e-181
ZT3D7_G4190 -5.45579453038384 4.29245495391087 7.06743022726416e-183 1.38875003965741e-180
ZT3D7_G6317 5.79037093008396 4.24082402090909 1.05199047311601e-182 2.01908776154103e-180
ZT3D7_G1344 3.20734878814858 6.86065592547871 2.06625359852817e-182 3.87563430651204e-180
ZT3D7_G4684 6.4049922428167 6.16473561485703 9.56502241527752e-182 1.7542251109619e-179
ZT3D7_G8871 -4.50276195892093 5.01927238012622 2.76573693112407e-181 4.96209280273194e-179
ZT3D7_G17 -4.87389900566041 9.64460165500319 1.32583698519516e-180 2.32811332740759e-178
ZT3D7_G9734 -7.79044456630124 3.86826928876835 1.46001971387965e-180 2.51032139555182e-178
ZT3D7_G7315 -3.91662178525405 6.92049001417943 3.67313159211507e-180 6.18660306729095e-178
ZT3D7_G9980 -7.65580714987525 3.735668445702 1.16328727086435e-179 1.92012196928869e-177
ZT3D7_G9652 5.02440963211241 5.55893557471386 4.12030955896737e-177 6.66763035101131e-175
ZT3D7_G11249 3.33113278288969 6.48240980725949 1.12599525075034e-174 1.78708438546973e-172
ZT3D7_G4563 -4.26004634988141 6.29431002846471 6.31343030320641e-174 9.83108307403066e-172
ZT3D7_G3323 -9.67736776012791 3.55661137491234 1.82965620000607e-173 2.79632455900927e-171
ZT3D7_G10601 -4.81880578695491 4.94215063010959 9.44084342937224e-171 1.41664146950198e-168
ZT3D7_G5547 3.9785881248955 5.38202498729904 4.85019165316899e-168 7.1479699488578e-166
ZT3D7_G1600 -4.1947169897697 4.47487045495755 4.44298914410949e-164 6.43298059760273e-162
ZT3D7_G6518 -3.55838762298895 10.4180149281167 1.11157160010653e-162 1.58168972684124e-160
ZT3D7_G8367 -3.56393083957099 9.13312920607941 5.91822182671172e-161 8.27848893827997e-159
ZT3D7_G8340 -5.99680971401264 5.2929126103831 8.88176862330446e-160 1.22168727413553e-157
ZT3D7_G5549 -4.8697691609174 4.57628110579592 5.91820572744548e-158 8.00704128993567e-156
ZT3D7_G3313 3.28463641284079 5.52743105149975 1.29065592093029e-157 1.71802956700608e-155
ZT3D7_G10887 -3.81195857784851 4.83251070143626 6.78073229784442e-157 8.88275931017619e-155
ZT3D7_G7241 -9.44015717921019 3.31829502540305 8.16597796479445e-156 1.05302837724138e-153
ZT3D7_G10119 -4.11567883620969 7.604176669656 1.09986395040136e-155 1.39648879733268e-153
ZT3D7_G9703 -3.37716946167106 6.76060912775701 2.10581087898977e-152 2.63322078550039e-150
ZT3D7_G8223 -8.24796323344927 3.41378895912848 8.6234468405667e-152 1.0622284593313e-149
ZT3D7_G3218 3.75003329012422 5.18567028723799 2.21381880190516e-148 2.68685979001813e-146
ZT3D7_G4077 -11.5623471751197 3.62839657314227 4.983896297925e-148 5.96117335460507e-146
ZT3D7_G6681 -4.00704376057922 5.11319234461082 4.13465028837813e-146 4.87475268999782e-144
ZT3D7_G7047 -11.5242792228531 3.60096972406224 5.11476873602936e-146 5.94537836316202e-144
ZT3D7_G8193 -10.3400510879439 4.21157842179665 1.54116939308757e-145 1.76656541682662e-143
ZT3D7_G5794 4.18659160450422 5.73401850311142 5.40123116749766e-145 6.10635079799427e-143
ZT3D7_G10425 -11.683121064513 3.7573979449171 6.46143938479331e-145 7.2062512490134e-143
ZT3D7_G6321 4.92500717913748 4.37230919525727 4.12304631820643e-143 4.53700016855436e-141
ZT3D7_G8981 6.5081914496407 3.69622451719202 5.3836140449729e-142 5.84617983067912e-140
ZT3D7_G4533 -11.1153525163928 3.18386663284459 5.27050864964182e-141 5.64902699811609e-139
ZT3D7_G2247 -11.898051364137 3.97309917179588 7.15785681149299e-140 7.5735631109297e-138
ZT3D7_G9971 -7.95039679209957 3.11268924918246 3.115503918084e-139 3.25471567543636e-137
ZT3D7_G343 -9.29296112658633 3.16871827483565 2.22050452199322e-137 2.29072797750126e-135
ZT3D7_G3360 -3.58732300211448 6.58327577031124 2.59331416702548e-135 2.64229899018041e-133
ZT3D7_G7841 -6.1028095173834 3.36049175094534 6.15963403479887e-135 6.19944630356038e-133
ZT3D7_G9858 3.52180881280965 7.66284419813052 1.09620780767613e-134 1.09000036587363e-132
ZT3D7_G3380 -9.66786743707556 3.54822576759391 2.19863010582982e-134 2.1601540789778e-132
ZT3D7_G296 -3.45554666488893 5.50215286895878 3.00310179291353e-132 2.9158351878724e-130
