chr	pos.cM	loci	Xchr	pos.bp	pos.Kb		
1	0	X1_4997	X1	4997	4.997		
1	0.370867657	X1_5391	X1	5391	5.391		
1	0.370867757	X1_7126	X1	7126	7.126		
1	0.370867857	X1_7725	X1	7725	7.725		
1	0.370867957	X1_7895	X1	7895	7.895		
1	0.370868057	X1_9480	X1	9480	9.48		
1	0.370868157	X1_9726	X1	9726	9.726		
1	0.370868257	X1_12413	X1	12413	12.413		
1	0.370868357	X1_12728	X1	12728	12.728		
1	0.370868457	X1_15350	X1	15350	15.35		
1	0.370868557	X1_15557	X1	15557	15.557		
1	0.370868657	X1_15561	X1	15561	15.561		
1	0.370868757	X1_15677	X1	15677	15.677		
1	0.370868857	X1_15768	X1	15768	15.768		
1	1.120090291	X1_15845	X1	15845	15.845		
1	1.120090391	X1_15857	X1	15857	15.857		
1	1.120090491	X1_15866	X1	15866	15.866		
1	1.120090591	X1_15869	X1	15869	15.869		
1	1.120090691	X1_15896	X1	15896	15.896		
1	1.120090791	X1_15905	X1	15905	15.905		
1	1.120090891	X1_15917	X1	15917	15.917		
1	1.120090991	X1_15923	X1	15923	15.923		
1	1.869312476	X1_15977	X1	15977	15.977		
1	1.869312576	X1_32634	X1	32634	32.634		
1	1.869312676	X1_32685	X1	32685	32.685		
1	1.869312776	X1_32718	X1	32718	32.718		
1	1.869312876	X1_32739	X1	32739	32.739		
1	1.869312976	X1_32748	X1	32748	32.748		
1	1.869313076	X1_32940	X1	32940	32.94		
1	1.869313176	X1_32953	X1	32953	32.953		
1	1.869313276	X1_32959	X1	32959	32.959		
1	1.869313376	X1_32973	X1	32973	32.973		
1	1.869313476	X1_32976	X1	32976	32.976		
1	1.869313576	X1_32979	X1	32979	32.979		
1	1.869313676	X1_32981	X1	32981	32.981		
1	1.869313776	X1_32984	X1	32984	32.984		
1	1.869313876	X1_33024	X1	33024	33.024		
1	1.869313976	X1_33036	X1	33036	33.036		
1	1.869314076	X1_33039	X1	33039	33.039		
1	1.869314176	X1_33045	X1	33045	33.045		
1	1.869314276	X1_33051	X1	33051	33.051		
1	1.869314376	X1_33054	X1	33054	33.054		
1	1.869314476	X1_33081	X1	33081	33.081		
1	1.869314576	X1_33111	X1	33111	33.111		
1	1.869314676	X1_33114	X1	33114	33.114		
1	2.30513907	X1_33147	X1	33147	33.147		
1	2.30513917	X1_33156	X1	33156	33.156		
1	2.30513927	X1_33165	X1	33165	33.165		
1	2.30513937	X1_33174	X1	33174	33.174		
1	2.30513947	X1_33180	X1	33180	33.18		
1	4.52426599	X1_38736	X1	38736	38.736		
1	4.52426609	X1_38742	X1	38742	38.742		
1	4.52426619	X1_38775	X1	38775	38.775		
1	4.52426629	X1_38799	X1	38799	38.799		
1	4.52426639	X1_38859	X1	38859	38.859		
1	4.52426649	X1_38877	X1	38877	38.877		
1	4.52426659	X1_38880	X1	38880	38.88		
1	8.833442951	X1_44302	X1	44302	44.302		
1	8.833443051	X1_44306	X1	44306	44.306		
1	8.833443151	X1_44322	X1	44322	44.322		
1	8.833443251	X1_44325	X1	44325	44.325		
1	8.833443351	X1_44328	X1	44328	44.328		
1	8.833443451	X1_44346	X1	44346	44.346		
1	8.833443551	X1_44347	X1	44347	44.347		
1	8.833443651	X1_44364	X1	44364	44.364		
1	8.833443751	X1_44381	X1	44381	44.381		
1	10.00347685	X1_44643	X1	44643	44.643		
1	10.00347695	X1_45083	X1	45083	45.083		
1	10.75106566	X1_55705	X1	55705	55.705		
1	10.75106576	X1_55729	X1	55729	55.729		
1	10.75106586	X1_55738	X1	55738	55.738		
1	10.75106596	X1_55746	X1	55746	55.746		
1	10.75106606	X1_55753	X1	55753	55.753		
1	10.75106616	X1_55783	X1	55783	55.783		
1	10.75106626	X1_55786	X1	55786	55.786		
1	10.75106636	X1_55792	X1	55792	55.792		
1	10.75106646	X1_55837	X1	55837	55.837		
1	10.75106656	X1_55876	X1	55876	55.876		
1	10.75106666	X1_55879	X1	55879	55.879		
1	10.75106676	X1_55939	X1	55939	55.939		
1	10.75106686	X1_55945	X1	55945	55.945		
1	10.75106696	X1_56101	X1	56101	56.101		
1	10.75106706	X1_56170	X1	56170	56.17		
1	10.75106716	X1_56173	X1	56173	56.173		
1	10.75106726	X1_56381	X1	56381	56.381		
1	10.75106736	X1_56385	X1	56385	56.385		
1	10.75106746	X1_56480	X1	56480	56.48		
1	10.75106756	X1_56485	X1	56485	56.485		
1	12.64523346	X1_69641	X1	69641	69.641		
1	12.64523356	X1_69656	X1	69656	69.656		
1	12.64523366	X1_69657	X1	69657	69.657		
