chr pos.cM loci Xchr pos.bp pos.Kb
1 0 X1_12069 X1 12069 12.069
1 29.3981226693899 X1_14425 X1 14425 14.425
1 29.3981227693899 X1_14432 X1 14432 14.432
1 47.5650515930376 X1_56469 X1 56469 56.469
1 55.2058612150076 X1_56705 X1 56705 56.705
1 55.2058613150076 X1_56715 X1 56715 56.715
1 60.3620724447519 X1_56755 X1 56755 56.755
1 62.1352608152426 X1_56770 X1 56770 56.77
1 63.6493779625626 X1_56793 X1 56793 56.793
1 63.6493780625626 X1_56800 X1 56800 56.8
1 86.3922685921081 X1_85319 X1 85319 85.319
1 86.799910030978 X1_89467 X1 89467 89.467
1 86.799910130978 X1_89639 X1 89639 89.639
1 86.799910230978 X1_89761 X1 89761 89.761
1 86.799910330978 X1_90450 X1 90450 90.45
1 87.5116540475525 X1_98920 X1 98920 98.92
1 87.5116541475524 X1_98965 X1 98965 98.965
1 87.5116542475524 X1_98980 X1 98980 98.98
1 87.5116543475525 X1_98992 X1 98992 98.992
1 87.5116544475524 X1_99022 X1 99022 99.022
1 87.5116545475525 X1_99076 X1 99076 99.076
1 87.5116546475524 X1_99082 X1 99082 99.082
1 87.5116547475525 X1_99088 X1 99088 99.088
1 87.5116548475524 X1_99094 X1 99094 99.094
1 87.5116549475524 X1_99097 X1 99097 99.097
1 87.5116550475525 X1_99103 X1 99103 99.103
1 87.5116551475524 X1_99128 X1 99128 99.128
1 87.5116552475525 X1_99151 X1 99151 99.151
1 87.5116553475524 X1_99172 X1 99172 99.172
1 87.5116554475524 X1_99187 X1 99187 99.187
1 87.5116555475525 X1_99196 X1 99196 99.196
1 87.5116556475524 X1_99211 X1 99211 99.211
1 87.5116557475525 X1_100349 X1 100349 100.349
1 87.5116558475524 X1_100381 X1 100381 100.381
1 87.5116559475525 X1_100395 X1 100395 100.395
1 87.5116560475524 X1_100399 X1 100399 100.399
1 87.5116561475524 X1_100461 X1 100461 100.461
1 87.5116562475525 X1_100467 X1 100467 100.467
1 87.5116563475524 X1_100468 X1 100468 100.468
1 88.2234001385841 X1_112532 X1 112532 112.532
1 88.2234002385841 X1_112852 X1 112852 112.852
1 88.2234003385841 X1_112876 X1 112876 112.876
1 88.2234004385841 X1_113503 X1 113503 113.503
1 88.2234005385841 X1_113536 X1 113536 113.536
1 88.2234006385841 X1_113544 X1 113544 113.544
1 88.2234007385841 X1_113551 X1 113551 113.551
1 88.2234008385841 X1_113581 X1 113581 113.581
1 88.2234009385841 X1_113584 X1 113584 113.584
1 88.2234010385841 X1_113590 X1 113590 113.59
1 88.2234011385841 X1_113635 X1 113635 113.635
1 88.2234012385841 X1_113674 X1 113674 113.674
1 88.2234013385841 X1_113677 X1 113677 113.677
1 88.2234014385841 X1_113737 X1 113737 113.737
1 88.2234015385841 X1_113899 X1 113899 113.899
1 88.2234016385841 X1_113968 X1 113968 113.968
1 88.2234017385841 X1_114278 X1 114278 114.278
1 88.2234018385841 X1_114283 X1 114283 114.283
1 88.9351456297494 X1_118209 X1 118209 118.209
1 88.9351457297494 X1_118218 X1 118218 118.218
1 88.9351458297494 X1_118231 X1 118231 118.231
1 88.9351459297494 X1_118324 X1 118324 118.324
1 88.9351460297494 X1_118353 X1 118353 118.353
1 88.9351461297494 X1_118396 X1 118396 118.396
1 88.9351462297494 X1_118413 X1 118413 118.413
1 88.9351463297494 X1_118418 X1 118418 118.418
1 88.9351464297494 X1_118432 X1 118432 118.432
1 88.9351465297494 X1_118433 X1 118433 118.433
1 88.9351466297494 X1_118444 X1 118444 118.444
1 88.9351467297494 X1_118448 X1 118448 118.448
1 88.9351468297494 X1_118465 X1 118465 118.465
1 88.9351469297494 X1_119029 X1 119029 119.029
1 88.9351470297494 X1_123328 X1 123328 123.328
1 88.9351471297494 X1_123331 X1 123331 123.331
1 88.9351472297494 X1_123335 X1 123335 123.335
1 89.2910191162362 X1_127053 X1 127053 127.053
1 89.2910192162362 X1_127056 X1 127056 127.056
1 89.2910193162362 X1_127117 X1 127117 127.117
1 89.2910194162362 X1_127160 X1 127160 127.16
1 89.2910195162362 X1_127221 X1 127221 127.221
1 89.2910196162362 X1_127227 X1 127227 127.227
1 89.2910197162362 X1_127260 X1 127260 127.26
1 89.2910198162362 X1_127279 X1 127279 127.279
1 89.2910199162362 X1_127280 X1 127280 127.28
1 89.2910200162362 X1_127307 X1 127307 127.307
1 89.2910201162362 X1_127310 X1 127310 127.31
1 89.2910202162362 X1_127319 X1 127319 127.319
1 89.2910203162362 X1_130153 X1 130153 130.153
1 89.2910204162362 X1_130358 X1 130358 130.358
1 89.2910205162362 X1_130574 X1 130574 130.574
1 89.2910206162362 X1_130589 X1 130589 130.589
1 89.2910207162362 X1_130604 X1 130604 130.604
1 89.2910208162362 X1_130615 X1 130615 130.615
1 89.2910209162362 X1_130664 X1 130664 130.664
1 89.2910210162362 X1_130668 X1 130668 130.668
1 89.2910211162362 X1_130692 X1 130692 130.692
1 89.2910212162362 X1_130783 X1 130783 130.783
1 89.2910213162362 X1_130978 X1 130978 130.978
1 89.2910214162362 X1_130995 X1 130995 130.995
1 89.2910215162362 X1_131037 X1 131037 131.037
1 89.2910216162362 X1_137142 X1 137142 137.142
1 89.2910217162362 X1_137597 X1 137597 137.597
1 89.2910218162362 X1_140802 X1 140802 140.802
1 89.2910219162362 X1_140804 X1 140804 140.804
1 89.2910220162362 X1_140806 X1 140806 140.806
1 89.2910221162362 X1_140811 X1 140811 140.811
1 89.2910222162362 X1_140819 X1 140819 140.819
1 89.2910223162362 X1_140823 X1 140823 140.823
1 89.2910224162362 X1_140880 X1 140880 140.88
1 89.2910225162362 X1_141539 X1 141539 141.539
1 89.2910226162362 X1_145849 X1 145849 145.849
1 89.2910227162362 X1_145883 X1 145883 145.883
1 89.2910228162362 X1_145952 X1 145952 145.952
1 89.2910229162362 X1_145959 X1 145959 145.959
1 89.2910230162362 X1_145964 X1 145964 145.964
1 89.2910231162362 X1_146088 X1 146088 146.088
1 89.2910232162362 X1_146115 X1 146115 146.115
1 89.2910233162362 X1_146116 X1 146116 146.116
1 89.2910234162362 X1_146162 X1 146162 146.162
1 89.2910235162362 X1_146318 X1 146318 146.318
1 89.2910236162362 X1_162023 X1 162023 162.023
1 89.2910237162362 X1_162338 X1 162338 162.338
1 89.2910238162362 X1_162379 X1 162379 162.379
1 89.2910239162362 X1_163892 X1 163892 163.892
1 89.2910240162362 X1_163897 X1 163897 163.897
1 89.2910241162362 X1_163910 X1 163910 163.91
1 89.2910242162362 X1_164014 X1 164014 164.014
1 89.2910243162362 X1_164029 X1 164029 164.029
1 89.2910244162362 X1_164034 X1 164034 164.034
1 89.2910245162362 X1_164036 X1 164036 164.036
1 89.2910246162362 X1_164037 X1 164037 164.037
1 89.2910247162362 X1_164133 X1 164133 164.133
1 89.2910248162362 X1_164669 X1 164669 164.669
1 89.2910249162362 X1_164688 X1 164688 164.688
1 89.2910250162362 X1_164716 X1 164716 164.716
1 89.2910251162362 X1_164778 X1 164778 164.778
1 89.2910252162362 X1_164795 X1 164795 164.795
1 89.2910253162362 X1_164797 X1 164797 164.797
1 89.2910254162362 X1_164803 X1 164803 164.803
1 89.2910255162362 X1_164816 X1 164816 164.816
1 89.2910256162362 X1_164854 X1 164854 164.854
1 89.2910257162362 X1_164876 X1 164876 164.876
1 89.2910258162362 X1_164897 X1 164897 164.897
1 89.6468970051147 X1_168685 X1 168685 168.685
1 89.6468971051146 X1_169094 X1 169094 169.094
1 89.6468972051147 X1_169095 X1 169095 169.095
1 89.6468973051146 X1_174832 X1 174832 174.832
1 89.6468974051146 X1_180858 X1 180858 180.858
1 89.6468975051147 X1_180864 X1 180864 180.864
1 89.6468976051146 X1_180983 X1 180983 180.983
1 89.6468977051147 X1_181028 X1 181028 181.028
1 89.6468978051146 X1_181033 X1 181033 181.033
1 89.6468979051147 X1_181116 X1 181116 181.116
1 89.6468980051147 X1_181157 X1 181157 181.157
1 89.6468981051146 X1_181159 X1 181159 181.159
1 89.6468982051147 X1_181187 X1 181187 181.187
1 90.3598050594099 X1_181546 X1 181546 181.546
1 90.7160749328164 X1_181570 X1 181570 181.57
1 90.7160750328164 X1_181573 X1 181573 181.573
1 90.7160751328164 X1_181588 X1 181588 181.588
1 90.7160752328164 X1_181591 X1 181591 181.591
1 90.7160753328164 X1_181597 X1 181597 181.597
1 90.7160754328164 X1_181624 X1 181624 181.624
1 90.7160755328164 X1_181633 X1 181633 181.633
1 90.7160756328164 X1_181638 X1 181638 181.638
1 90.7160757328164 X1_181654 X1 181654 181.654
1 90.7160758328164 X1_181684 X1 181684 181.684
1 90.7160759328164 X1_182350 X1 182350 182.35
1 91.3090383400916 X1_185593 X1 185593 185.593
1 92.4987841090002 X1_192037 X1 192037 192.037
1 92.4987842090002 X1_192062 X1 192062 192.062
1 92.4987843090002 X1_192197 X1 192197 192.197
1 92.4987844090002 X1_193563 X1 193563 193.563
1 92.4987845090002 X1_193566 X1 193566 193.566
1 92.4987846090002 X1_193572 X1 193572 193.572
1 92.4987847090002 X1_193582 X1 193582 193.582
1 92.4987848090002 X1_193593 X1 193593 193.593
1 92.4987849090002 X1_193602 X1 193602 193.602
1 92.4987850090002 X1_193614 X1 193614 193.614
1 92.4987851090002 X1_193617 X1 193617 193.617
1 92.4987852090002 X1_193632 X1 193632 193.632
1 92.4987853090002 X1_193635 X1 193635 193.635
1 92.4987854090002 X1_193729 X1 193729 193.729
1 92.4987855090002 X1_193761 X1 193761 193.761
1 92.4987856090002 X1_193764 X1 193764 193.764
1 92.4987857090002 X1_193801 X1 193801 193.801
1 92.4987858090002 X1_193815 X1 193815 193.815
1 92.4987859090002 X1_193830 X1 193830 193.83
1 92.4987860090002 X1_201661 X1 201661 201.661
1 92.8530224987979 X1_202953 X1 202953 202.953
1 92.8530225987979 X1_204513 X1 204513 204.513
1 92.8530226987979 X1_204553 X1 204553 204.553
1 92.8530227987979 X1_204557 X1 204557 204.557
1 92.8530228987979 X1_204560 X1 204560 204.56
1 92.8530229987979 X1_204574 X1 204574 204.574
1 92.8530230987979 X1_204583 X1 204583 204.583
1 92.8530231987979 X1_204618 X1 204618 204.618
1 93.9229752946729 X1_213640 X1 213640 213.64
1 93.9229753946729 X1_213649 X1 213649 213.649
1 94.6366909612222 X1_218407 X1 218407 218.407
1 94.6366910612222 X1_218430 X1 218430 218.43
1 94.6366911612222 X1_218437 X1 218437 218.437
1 94.6366912612222 X1_218441 X1 218441 218.441
1 94.6366913612222 X1_218444 X1 218444 218.444
1 94.6366914612222 X1_218445 X1 218445 218.445
1 94.6366915612222 X1_218516 X1 218516 218.516
1 94.6366916612222 X1_240143 X1 240143 240.143
1 94.6366917612222 X1_240159 X1 240159 240.159
1 94.6366918612222 X1_240193 X1 240193 240.193
1 94.6366919612222 X1_240207 X1 240207 240.207
1 94.6366920612222 X1_240209 X1 240209 240.209
